Topic_ID,Topic_Name,ESG,TRS_FM,TRS_IM,Net_Impact_Score,Net_Financial_Score,Impact_Materiality,Financial_Materiality
1,Waste Management,E,7.6517,7.938,7.3333,7.0,7.6356,7.3258
2,Energy Management,E,7.9377,7.8514,9.5,8.5,8.6757,8.2188
3,Emissions Management,E,7.691,7.9528,7.6667,5.5,7.8098,6.5955
4,Water Management,E,7.3723,7.1575,6.0,7.0,6.5788,7.1862
5,Transportation & Logistics,E,7.4925,7.3794,6.0,7.0,6.6897,7.2462
6,Community Engagement,S,7.0428,6.8199,7.5,5.0,7.16,6.0214
7,Diversity & Inclusion,S,7.6648,7.3369,7.3333,8.0,7.3351,7.8324
8,Human Rights,S,7.2059,7.1616,5.6667,6.5,6.4141,6.853
9,Data Security & Data Protection,G,7.0668,7.3944,7.0,7.5,7.1972,7.2834
10,Safety & Working Conditions,S,7.6143,6.9192,8.6667,9.0,7.793,8.3072
11,Product Quality & Safety,S,7.8829,8.0035,9.5,9.0,8.7518,8.4414
12,Ethics & Transparency,G,7.8615,7.6354,6.0,5.0,6.8177,6.4308
13,Compliance,G,7.7812,7.9631,7.5,5.5,7.7316,6.6406
14,Sustainable Product Design,E,7.5168,7.5241,8.0,8.5,7.762,8.0084
15,Economic Performance,G,7.7913,7.2929,7.3333,8.0,7.3131,7.8956
16,Biodiversity,E,7.1278,7.265,4.0,3.5,5.6325,5.3139
17,Customer Relationship Management,S,7.7259,7.3736,5.0,7.5,6.1868,7.613
18,R&D Innovation & Technology,G,7.4766,7.5747,5.5,7.0,6.5374,7.2383
19,Human Capital Development,S,7.3315,7.1554,4.5,8.5,5.8277,7.9158
20,Vendor Management,S,7.1824,7.3708,6.5,7.0,6.9354,7.0912
21,Employees in the Value Chain,S,7.5665,7.5735,8.0,3.5,7.7868,5.5332
